trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
bca9da28-85c2-4b15-b4db-2a763a1fb8a3,O0869AAA0A,D_REG,Santa Margarida,869,1,O0869AAA0AVDU01
53f74c59-dee7-4778-b2fa-ad36c7e197ef,O0691AAA0A,S_REG,Méier,691,1,tbv0
9f590ae7-8bf3-4b1c-91f5-ece807100674,E2110AAA0A,U_REG,Gardênia Azul,2110,1,jz36
9cdd3238-5506-4ac8-8253-0db734e433d6,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
bb9cd8ad-17cb-4154-8f0b-933c187c7bce,O0926AAA0A,S_REG,Penha,926,0,0xz6
1b658437-d617-4c52-903e-0f0723758671,O0926AAA0A,S_REG,Penha,926,0,0xz6
60e70566-ab84-4dea-b9ed-4eff3859ab67,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
483d0c46-9980-40d2-a173-739698a0773a,O0315AAA0A,U_REG,Central,315,1,4rzh
7c90320a-8159-4326-a6b0-d2f3e8183f52,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
8c1a2f81-8544-4185-be41-8870d71ffb37,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
05292c36-b11d-4be6-aa98-ad7715888713,O0324AAA0A,U_REG,Candelária,324,0,pp88
3725cefb-f956-427f-922a-24c50806937a,O0920AAA0A,S_REG,Bonsucesso,920,0,O0920AAA0AIDU01
e2827a92-d5ee-434f-9607-58246117ca35,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
60d95674-edf3-441b-9132-8464a83b3069,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
66bd398b-5f05-479a-90b4-e7dd07c47694,O0483AAV0A,U_REG,Penha,SV483,0,4dox
7330eeba-53e1-49f6-8db1-934698ffc35a,O0399AAA0A,S_REG,Passeio,399,0,5fzx
cc363dfc-e6a6-4439-ba07-9896dbe91346,O0422AAA0A,U_REG,Cosme Velho,422,0,n6im
cf3a5942-0b15-4a87-9e3f-d882fbdae11a,O0422AAA0A,U_REG,Cosme Velho,422,0,n6im
4507cb05-3ca0-401b-aad5-05dc63bee1bf,O0940AAA0A,U_REG,Madureira,940,0,u35l
265e6bb2-3438-493c-b938-d1f224344742,O0940AAA0A,U_REG,Madureira,940,0,u35l
700d2bcd-6215-4dac-930a-dc69825ef356,O0415AAA0A,U_REG,Leblon,415,0,0snx
c0df555f-3c5c-4932-b3c7-610a9ba38bd5,O0415AAA0A,U_REG,Leblon,415,0,0snx
dbd17c5a-04bc-44cb-acb1-a249a26b43c2,O0483AAV0A,U_REG,Penha,SV483,0,4dox
64251ca3-ea3c-4b48-9d39-1614c5ffaa23,O0483AAV0A,U_REG,Penha,SV483,0,4dox
92290926-a336-4c2e-9960-2b2832738230,O0415AAA0A,U_REG,Leblon,415,0,0snx
babd085b-e379-41f6-a9fb-e190d27631aa,O0415AAA0A,U_REG,Leblon,415,0,0snx
7e73168c-db55-4ac1-8302-86cdef3b0bc4,O0606AAV0A,U_REG,Terminal Gentileza,SV606,0,2bl8
02555a8d-2ae3-4752-8280-22545367b507,O0606AAV0A,S_REG,Engenho de Dentro,SV606,1,41i6
f00cad9c-3b35-4414-ad3d-5751520a99aa,O0422AAA0A,U_REG,Grajaú,422,1,4e7e
5df94b6f-92ac-4fad-b431-94b5a8d680ff,O0422AAA0A,U_REG,Grajaú,422,1,4e7e
8cdcb4bd-2327-4b4e-a184-50d39e2ab802,O0422AAA0A,U_REG,Grajaú,422,1,4e7e
f448e4ce-7a39-4736-bff2-89ae8cba8b25,O0409AAA0A,U_REG,Saens Peña,409,1,wrbl
0c6ae00a-f6f2-4701-adb7-ecf539d773a8,O0774AAV0A,U_REG,Madureira,SV774,1,kdrb
9ac39851-2df4-48b1-9261-0d689699bb0d,O0409AAA0A,U_REG,Saens Peña,409,1,wrbl
